hotel_name,city,priority_band,priority_score,website,phone,contact_status,factual_summary,subject_line,hook,cold_email,followup_email,source_file
Melrose Apartments,Petržalka,High,9.12,http://www.melroseapartman.sk/,+421 2/207 629 46,Overené z raw vstupu: web aj telefón,Hotel: Melrose Apartments | Mesto: Petržalka | Kategória: Hotel | Priorita: High (9.12) | Hodnotenie: 4.3/5 z 295 recenzií | Web: http://www.melroseapartman.sk/ | Telefón: +421 2/207 629 46 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Melrose Apartments: krátky nápad,Pozeral som sa na Melrose Apartments v lokalite Petržalka.,"Dobrý deň,

Pozeral som sa na Melrose Apartments v lokalite Petržalka.
Pozrel som si váš verejný profil v lokalite Petržalka, s prioritou High (9.12), s hodnotením 4.3/5 z 295 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Melrose Apartments.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Melrose Apartments.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
BAROK Hotel a Apartmany,Bratislava-Petržalka,High,9.1,http://www.barok.sk/,+421 950 500 555,Overené z raw vstupu: web aj telefón,Hotel: BAROK Hotel a Apartmany | Mesto: Bratislava-Petržalka | Kategória: Hotel | Priorita: High (9.1) | Hodnotenie: 4.6/5 z 241 recenzií | Web: http://www.barok.sk/ | Telefón: +421 950 500 555 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),BAROK Hotel a Apartmany: krátky nápad,Pozeral som sa na BAROK Hotel a Apartmany v lokalite Bratislava-Petržalka.,"Dobrý deň,

Pozeral som sa na BAROK Hotel a Apartmany v lokalite Bratislava-Petržalka.
Pozrel som si váš verejný profil v lokalite Bratislava-Petržalka, s prioritou High (9.1), s hodnotením 4.6/5 z 241 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre BAROK Hotel a Apartmany.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre BAROK Hotel a Apartmany.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
SKARITZ Hotel & Residence,Bratislava,High,9.06,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+421 2/592 097 70,Overené z raw vstupu: web aj telefón,"Hotel: SKARITZ Hotel & Residence | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.06) | Hodnotenie: 4.6/5 z 527 recenzií | Web: https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing | Telefón: +421 2/592 097 70 | Otváracie hodiny: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 00:00-23:59 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",SKARITZ Hotel & Residence: krátky nápad,Pozeral som sa na SKARITZ Hotel & Residence v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na SKARITZ Hotel & Residence v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.06), s hodnotením 4.6/5 z 527 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre SKARITZ Hotel & Residence.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre SKARITZ Hotel & Residence.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
YACHTER CLUB Modrá Čajka,Čunovo,High,9.06,http://www.yachter-cajka.sk/,+421 948 815 888,Overené z raw vstupu: web aj telefón,Hotel: YACHTER CLUB Modrá Čajka | Mesto: Čunovo | Kategória: Prístav | Priorita: High (9.06) | Hodnotenie: 4.6/5 z 883 recenzií | Web: http://www.yachter-cajka.sk/ | Telefón: +421 948 815 888 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),YACHTER CLUB Modrá Čajka: krátky nápad,Pozeral som sa na YACHTER CLUB Modrá Čajka v lokalite Čunovo.,"Dobrý deň,

Pozeral som sa na YACHTER CLUB Modrá Čajka v lokalite Čunovo.
Pozrel som si váš verejný profil v lokalite Čunovo, s prioritou High (9.06), s hodnotením 4.6/5 z 883 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre YACHTER CLUB Modrá Čajka.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre YACHTER CLUB Modrá Čajka.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
LILAWADI - Wellness & Spa,Karlova Ves,High,9.04,https://www.lilawadi.sk/,+421 948 888 885,Overené z raw vstupu: web aj telefón,Hotel: LILAWADI - Wellness & Spa | Mesto: Karlova Ves | Kategória: Wellness centrum | Priorita: High (9.04) | Hodnotenie: 5.0/5 z 441 recenzií | Web: https://www.lilawadi.sk/ | Telefón: +421 948 888 885 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),LILAWADI - Wellness & Spa: krátky nápad,Pozeral som sa na LILAWADI - Wellness & Spa v lokalite Karlova Ves.,"Dobrý deň,

Pozeral som sa na LILAWADI - Wellness & Spa v lokalite Karlova Ves.
Pozrel som si váš verejný profil v lokalite Karlova Ves, s prioritou High (9.04), s hodnotením 5.0/5 z 441 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre LILAWADI - Wellness & Spa.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre LILAWADI - Wellness & Spa.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Apollo Hotel,Ružinov,High,9.04,http://www.apollohotel.sk/,+421 903 231 893,Overené z raw vstupu: web aj telefón,Hotel: Apollo Hotel | Mesto: Ružinov | Kategória: Hotel | Priorita: High (9.04) | Hodnotenie: 4.4/5 z 3604 recenzií | Web: http://www.apollohotel.sk/ | Telefón: +421 903 231 893 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Apollo Hotel: krátky nápad,Pozeral som sa na Apollo Hotel v lokalite Ružinov.,"Dobrý deň,

Pozeral som sa na Apollo Hotel v lokalite Ružinov.
Pozrel som si váš verejný profil v lokalite Ružinov, s prioritou High (9.04), s hodnotením 4.4/5 z 3604 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Apollo Hotel.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Apollo Hotel.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Mamaison Residence Sulekova Bratislava,Bratislava I,High,9.03,https://www.mamaisonsulekova.com/,+421 2/591 002 00,Overené z raw vstupu: web aj telefón,Hotel: Mamaison Residence Sulekova Bratislava | Mesto: Bratislava I | Kategória: Hotel na predĺžený pobyt | Priorita: High (9.03) | Hodnotenie: 4.3/5 z 604 recenzií | Web: https://www.mamaisonsulekova.com/ | Telefón: +421 2/591 002 00 | Otváracie hodiny: Mo-Su 00:00-24:00 (Overené vo verejnom zdroji) | Check-in / check-out: Check-in od 14:00 / Check-out do 11:00 (Overené vo verejnom zdroji),Mamaison Residence Sulekova Bratislava: krátky nápad,Pozeral som sa na Mamaison Residence Sulekova Bratislava v lokalite Bratislava I.,"Dobrý deň,

Pozeral som sa na Mamaison Residence Sulekova Bratislava v lokalite Bratislava I.
Pozrel som si váš verejný profil v lokalite Bratislava I, s prioritou High (9.03), s hodnotením 4.3/5 z 604 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Mamaison Residence Sulekova Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Mamaison Residence Sulekova Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Dunajský Pivovar,Bratislava-Petržalka,High,8.98,http://www.dunajskypivovar.sk/,+421 948 418 934,Overené z raw vstupu: web aj telefón,Hotel: Dunajský Pivovar | Mesto: Bratislava-Petržalka | Kategória: Reštaurácia | Priorita: High (8.98) | Hodnotenie: 3.8/5 z 2429 recenzií | Web: http://www.dunajskypivovar.sk/ | Telefón: +421 948 418 934 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Dunajský Pivovar: krátky nápad,Pozeral som sa na Dunajský Pivovar v lokalite Bratislava-Petržalka.,"Dobrý deň,

Pozeral som sa na Dunajský Pivovar v lokalite Bratislava-Petržalka.
Pozrel som si váš verejný profil v lokalite Bratislava-Petržalka, s prioritou High (8.98), s hodnotením 3.8/5 z 2429 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Dunajský Pivovar.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Dunajský Pivovar.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzion Zlatá Noha,Nové Mesto,High,8.97,http://www.zlatanoha.sk/,+421 903 427 138,Overené z raw vstupu: web aj telefón,Hotel: Penzion Zlatá Noha | Mesto: Nové Mesto | Kategória: Hotel | Priorita: High (8.97) | Hodnotenie: 3.4/5 z 233 recenzií | Web: http://www.zlatanoha.sk/ | Telefón: +421 903 427 138 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Penzion Zlatá Noha: krátky nápad,Pozeral som sa na Penzion Zlatá Noha v lokalite Nové Mesto.,"Dobrý deň,

Pozeral som sa na Penzion Zlatá Noha v lokalite Nové Mesto.
Pozrel som si váš verejný profil v lokalite Nové Mesto, s prioritou High (8.97), s hodnotením 3.4/5 z 233 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Penzion Zlatá Noha.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Penzion Zlatá Noha.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Cabin Devín,Cabin-Devín,High,8.92,http://www.cabindevin.sk/,+421 911 718 259,Overené z raw vstupu: web aj telefón,Hotel: Cabin Devín | Mesto: Cabin-Devín | Kategória: Hotel | Priorita: High (8.92) | Hodnotenie: 5.0/5 z 22 recenzií | Web: http://www.cabindevin.sk/ | Telefón: +421 911 718 259 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Cabin Devín: krátky nápad,Pozeral som sa na Cabin Devín v lokalite Cabin-Devín.,"Dobrý deň,

Pozeral som sa na Cabin Devín v lokalite Cabin-Devín.
Pozrel som si váš verejný profil v lokalite Cabin-Devín, s prioritou High (8.92), s hodnotením 5.0/5 z 22 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Cabin Devín.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Cabin Devín.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
William's apartments s.r.o,Bratislava,High,8.91,https://www.william-s-apartments.eu/william-s-apartment/,+421 908 542 052,Overené z raw vstupu: web aj telefón,Hotel: William's apartments s.r.o | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.91) | Hodnotenie: 5.0/5 z 6 recenzií | Web: https://www.william-s-apartments.eu/william-s-apartment/ | Telefón: +421 908 542 052 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),William's apartments s.r.o: krátky nápad,Pozeral som sa na William's apartments s.r.o v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na William's apartments s.r.o v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.91), s hodnotením 5.0/5 z 6 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre William's apartments s.r.o.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre William's apartments s.r.o.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
