hotel_name,city,country_code,website,phone,category_name,all_categories,review_score,reviews_count,priority_score,priority_band,hotel_opening_hours,hotel_opening_hours_status,hotel_opening_hours_source_url,hotel_opening_hours_source_type,checkin_checkout_info,checkin_checkout_status,checkin_checkout_source_url,checkin_checkout_source_type,checkin_checkout_source_origin,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,contact_status,factual_summary,give_first_insight,main_observed_issue,email_hook,micro_cta,primary_email_goal,proof_snippet,email_angle,cta_type,variant_id,test_batch,reply_outcome,source_url,source_file
Melrose Apartments,Petržalka,SK,http://www.melroseapartman.sk/,+421 2/207 629 46,Hotel,Hotel | Apartmánový komplex | Ubytovanie | Reštaurácia | Bazén | Dovolenkový apartmán,4.3,295,9.12,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Check-out do 10:00,Overené vo verejnom zdroji,http://www.melroseapartman.sk/,homepage,text,single_side,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Melrose Apartments | Mesto: Petržalka | Kategória: Hotel | Priorita: High (9.12) | Hodnotenie: 4.3/5 z 295 recenzií | Web: http://www.melroseapartman.sk/ | Telefón: +421 2/207 629 46 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-out do 10:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Melrose Apartments v lokalite Petržalka.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Melrose%20Apartments&query_place_id=ChIJyScSNciJbEcRdFjO-GStdmA,raw_bratislava region_2026-04-01_21-01-58-857.csv
BAROK Hotel a Apartmany,Bratislava-Petržalka,SK,http://www.barok.sk/,+421 950 500 555,Hotel,Hotel | Apartmánový komplex | Gril | Športový areál | Kongresové centrum | Konferenčné priestory | Wellness a masáže | Detské ihrisko | Bazén | Svadobný servis,4.6,241,9.1,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: BAROK Hotel a Apartmany | Mesto: Bratislava-Petržalka | Kategória: Hotel | Priorita: High (9.1) | Hodnotenie: 4.6/5 z 241 recenzií | Web: http://www.barok.sk/ | Telefón: +421 950 500 555 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na BAROK Hotel a Apartmany v lokalite Bratislava-Petržalka.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=BAROK%20Hotel%20a%20Apartmany&query_place_id=ChIJu61KpUqIbEcRV54KLBxj_L8,raw_bratislava region_2026-04-01_21-01-58-857.csv
SKARITZ Hotel & Residence,Bratislava,SK,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+421 2/592 097 70,Hotel,Hotel | Hotel na predĺžený pobyt | Ubytovanie s izbovou službou | Wellness Hotel,4.6,527,9.06,High,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 00:00-23:59",Overené vo verejnom zdroji,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,homepage,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,"Hotel: SKARITZ Hotel & Residence | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.06) | Hodnotenie: 4.6/5 z 527 recenzií | Web: https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing | Telefón: +421 2/592 097 70 | Otváracie hodiny: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 00:00-23:59 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na SKARITZ Hotel & Residence v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=SKARITZ%20Hotel%20%26%20Residence&query_place_id=ChIJqWbI2VyJbEcRDgiRvT3gLGk,raw_bratislava region_2026-04-01_21-01-58-857.csv
YACHTER CLUB Modrá Čajka,Čunovo,SK,http://www.yachter-cajka.sk/,+421 948 815 888,Prístav,Prístav | Ihrisko na plážový volejbal | Požičovňa lodí | Rýchle občerstvenie | Prenájom rybárskych lodí | Reštaurácia | Vodné lyžovanie,4.6,883,9.06,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: YACHTER CLUB Modrá Čajka | Mesto: Čunovo | Kategória: Prístav | Priorita: High (9.06) | Hodnotenie: 4.6/5 z 883 recenzií | Web: http://www.yachter-cajka.sk/ | Telefón: +421 948 815 888 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na YACHTER CLUB Modrá Čajka v lokalite Čunovo.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=YACHTER%20CLUB%20Modr%C3%A1%20%C4%8Cajka&query_place_id=ChIJuXUeZ7h9bEcROnFIF2IZRpk,raw_bratislava region_2026-04-01_21-01-58-857.csv
LILAWADI - Wellness & Spa,Karlova Ves,SK,https://www.lilawadi.sk/,+421 948 888 885,Wellness centrum,Wellness centrum | Denný wellness | Wellness a masáže | Wellness s horúcimi kameňmi | Verejná sauna | Sauna | Wellness program,5.0,441,9.04,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: LILAWADI - Wellness & Spa | Mesto: Karlova Ves | Kategória: Wellness centrum | Priorita: High (9.04) | Hodnotenie: 5.0/5 z 441 recenzií | Web: https://www.lilawadi.sk/ | Telefón: +421 948 888 885 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na LILAWADI - Wellness & Spa v lokalite Karlova Ves.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=LILAWADI%20-%20Wellness%20%26%20Spa&query_place_id=ChIJC9Fj0U6LbEcR3x4ygcOAdOY,raw_bratislava region_2026-04-01_21-01-58-857.csv
Apollo Hotel,Ružinov,SK,http://www.apollohotel.sk/,+421 903 231 893,Hotel,Hotel | Bar | Konferenčné stredisko | Reštaurácia,4.4,3604,9.04,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Apollo Hotel | Mesto: Ružinov | Kategória: Hotel | Priorita: High (9.04) | Hodnotenie: 4.4/5 z 3604 recenzií | Web: http://www.apollohotel.sk/ | Telefón: +421 903 231 893 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Apollo Hotel v lokalite Ružinov.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Apollo%20Hotel&query_place_id=ChIJi8Rg1DCJbEcRNX5E39oAsGI,raw_bratislava region_2026-04-01_21-01-58-857.csv
Mamaison Residence Sulekova Bratislava,Bratislava I,SK,https://www.mamaisonsulekova.com/,+421 2/591 002 00,Hotel na predĺžený pobyt,Hotel na predĺžený pobyt | Hotel | Sauna | Ubytovanie s izbovou službou,4.3,604,9.03,High,Mo-Su 00:00-24:00,Overené vo verejnom zdroji,https://www.mamaisonsulekova.com/,homepage,Check-in od 14:00 / Check-out do 11:00,Overené vo verejnom zdroji,https://www.mamaisonsulekova.com/,homepage,text,paired,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Mamaison Residence Sulekova Bratislava | Mesto: Bratislava I | Kategória: Hotel na predĺžený pobyt | Priorita: High (9.03) | Hodnotenie: 4.3/5 z 604 recenzií | Web: https://www.mamaisonsulekova.com/ | Telefón: +421 2/591 002 00 | Otváracie hodiny: Mo-Su 00:00-24:00 (Overené vo verejnom zdroji) | Check-in / check-out: Check-in od 14:00 / Check-out do 11:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Mamaison Residence Sulekova Bratislava v lokalite Bratislava I.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Mamaison%20Residence%20Sulekova%20Bratislava&query_place_id=ChIJg9fAMFmJbEcRxLqNu3BX9-g,raw_bratislava region_2026-04-01_21-01-58-857.csv
Dunajský Pivovar,Bratislava-Petržalka,SK,http://www.dunajskypivovar.sk/,+421 948 418 934,Reštaurácia,Reštaurácia | Bar | Pivovar | Piváreň | Krčma,3.8,2429,8.98,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Dunajský Pivovar | Mesto: Bratislava-Petržalka | Kategória: Reštaurácia | Priorita: High (8.98) | Hodnotenie: 3.8/5 z 2429 recenzií | Web: http://www.dunajskypivovar.sk/ | Telefón: +421 948 418 934 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Dunajský Pivovar v lokalite Bratislava-Petržalka.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Dunajsk%C3%BD%20Pivovar&query_place_id=ChIJ1Y73ImuJbEcRbwDqbz1KmRU,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzion Zlatá Noha,Nové Mesto,SK,http://www.zlatanoha.sk/,+421 903 427 138,Hotel,Hotel | Penzión | Ubytovanie | Nefajčiarske ubytovacie zariadenie | Ubytovanie s izbovou službou,3.4,233,8.97,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Penzion Zlatá Noha | Mesto: Nové Mesto | Kategória: Hotel | Priorita: High (8.97) | Hodnotenie: 3.4/5 z 233 recenzií | Web: http://www.zlatanoha.sk/ | Telefón: +421 903 427 138 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Penzion Zlatá Noha v lokalite Nové Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Penzion%20Zlat%C3%A1%20Noha&query_place_id=ChIJSXOFNqmObEcR4O76AvaYCc0,raw_bratislava region_2026-04-01_21-01-58-857.csv
Cabin Devín,Cabin-Devín,SK,http://www.cabindevin.sk/,+421 911 718 259,Hotel,Hotel | Farma | Luxusná reštaurácia | Prenájom dovolenkových apartmánov | Chovateľ koní | Jazdenie na koni | Ranč | Vinica | Vinárstvo,5.0,22,8.92,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Cabin Devín | Mesto: Cabin-Devín | Kategória: Hotel | Priorita: High (8.92) | Hodnotenie: 5.0/5 z 22 recenzií | Web: http://www.cabindevin.sk/ | Telefón: +421 911 718 259 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Cabin Devín v lokalite Cabin-Devín.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Cabin%20Dev%C3%ADn&query_place_id=ChIJYYHab3WLbEcRnfLtKKIoick,raw_bratislava region_2026-04-01_21-01-58-857.csv
William's apartments s.r.o,Bratislava,SK,https://www.william-s-apartments.eu/william-s-apartment/,+421 908 542 052,Hotel,Hotel | Bytový dom | Apartmánový komplex | Prenájom bytov | Turistická oblasť | Prenájom dovolenkových apartmánov | Nefajčiarske ubytovacie zariadenie | Rekreačné stredisko | Hotelový rezort | Dovolenkový apartmán,5.0,6,8.91,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: William's apartments s.r.o | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.91) | Hodnotenie: 5.0/5 z 6 recenzií | Web: https://www.william-s-apartments.eu/william-s-apartment/ | Telefón: +421 908 542 052 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na William's apartments s.r.o v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=William's%20apartments%20s.r.o&query_place_id=ChIJu9dI1tiJbEcRC3UHHRU7A-Y,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Grand Hotel River Park, a Luxury Collection Hotel",Bratislava,SK,https://www.marriott.com/en-us/hotels/btslc-grand-hotel-river-park-a-luxury-collection-hotel-bratislava/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/322 382 22,Hotel,Hotel | Plánovanie stretnutí | Miesto na konanie svadieb,4.6,1617,8.76,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,"Hotel: Grand Hotel River Park, a Luxury Collection Hotel | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.76) | Hodnotenie: 4.6/5 z 1617 recenzií | Web: https://www.marriott.com/en-us/hotels/btslc-grand-hotel-river-park-a-luxury-collection-hotel-bratislava/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 | Telefón: +421 2/322 382 22 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"Pozeral som sa na Grand Hotel River Park, a Luxury Collection Hotel v lokalite Bratislava.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20River%20Park%2C%20a%20Luxury%20Collection%20Hotel&query_place_id=ChIJnywLnt-LbEcRjox8UmxuK5c,raw_bratislava region_2026-04-01_21-01-58-857.csv
Sheraton Bratislava,Bratislava,SK,https://www.marriott.com/en-us/hotels/btssi-sheraton-bratislava-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/353 500 00,Hotel,Hotel | Plánovanie stretnutí | Miesto na konanie svadieb,4.6,1634,8.76,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Sheraton Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.76) | Hodnotenie: 4.6/5 z 1634 recenzií | Web: https://www.marriott.com/en-us/hotels/btssi-sheraton-bratislava-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 | Telefón: +421 2/353 500 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Sheraton Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Sheraton%20Bratislava&query_place_id=ChIJYS7WvT-JbEcRN0C1OeRAzCg,raw_bratislava region_2026-04-01_21-01-58-857.csv
HOTEL DEVÍN,Bratislava,SK,http://www.hoteldevin.sk/,+421 2/599 851 11,Hotel,Hotel | Francúzska reštaurácia | Reštaurácia,4.5,1982,8.75,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: HOTEL DEVÍN | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 1982 recenzií | Web: http://www.hoteldevin.sk/ | Telefón: +421 2/599 851 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=HOTEL%20DEV%C3%8DN&query_place_id=ChIJ0RTfP2iJbEcR7Xs3j8YvZ7s,raw_bratislava region_2026-04-01_21-01-58-857.csv
Crowne Plaza Bratislava,Bratislava,SK,https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA,+421 2/593 481 11,Hotel,Hotel | Konferenčné stredisko | Miesto na konanie svadieb,4.5,3045,8.75,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Check-in od 15:00 / Check-out do 12:00,Overené vo verejnom zdroji,https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA,subpage_general,text,paired,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Crowne Plaza Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 3045 recenzií | Web: https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA | Telefón: +421 2/593 481 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-in od 15:00 / Check-out do 12:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Crowne%20Plaza%20Bratislava&query_place_id=ChIJaeVrEVuJbEcRa-AYnk0qGWQ,raw_bratislava region_2026-04-01_21-01-58-857.csv
DoubleTree by Hilton Bratislava,Bratislava,SK,https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI,+421 2/323 401 11,Hotel,Hotel | Miesto konania podujatia | Miesto na konanie svadieb,4.5,2016,8.75,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: DoubleTree by Hilton Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 2016 recenzií | Web: https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI | Telefón: +421 2/323 401 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=DoubleTree%20by%20Hilton%20Bratislava&query_place_id=ChIJ28V7o8uObEcRf2RSz2pVWqA,raw_bratislava region_2026-04-01_21-01-58-857.csv
Falkensteiner Hotel Bratislava,Bratislava,SK,https://www.falkensteiner.com/en/hotel-bratislava,+421 2/592 361 00,Hotel,Hotel | Reštaurácia | Wellness Hotel,4.4,2496,8.74,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Check-in od 15:00 / Check-out do 12:00,Overené vo verejnom zdroji,https://www.falkensteiner.com/en/hotel-bratislava,subpage_general,text,paired,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Falkensteiner Hotel Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.74) | Hodnotenie: 4.4/5 z 2496 recenzií | Web: https://www.falkensteiner.com/en/hotel-bratislava | Telefón: +421 2/592 361 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-in od 15:00 / Check-out do 12:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Falkensteiner%20Hotel%20Bratislava&query_place_id=ChIJGWe3a1yJbEcRuWzxtO9GYVY,raw_bratislava region_2026-04-01_21-01-58-857.csv
