hotel_name,city,priority_band,priority_score,website,phone,contact_status,factual_summary,subject_line,hook,give_first_insight,main_observed_issue,email_hook,micro_cta,primary_email_goal,proof_snippet,email_angle,cta_type,variant_id,test_batch,reply_outcome,personalization_line,give_first_line,relevance_line,low_friction_cta,proof_line,cold_email,followup_email,source_file
HOTEL DEVÍN,Bratislava,High,8.75,http://www.hoteldevin.sk/,+421 2/599 851 11,Overené z raw vstupu: web aj telefón,Hotel: HOTEL DEVÍN | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 1982 recenzií | Web: http://www.hoteldevin.sk/ | Telefón: +421 2/599 851 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),HOTEL DEVÍN: krátky postreh,Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 1982 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 1982 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre HOTEL DEVÍN.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Crowne Plaza Bratislava,Bratislava,High,8.75,https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA,+421 2/593 481 11,Overené z raw vstupu: web aj telefón,Hotel: Crowne Plaza Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 3045 recenzií | Web: https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA | Telefón: +421 2/593 481 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-in od 15:00 / Check-out do 12:00 (Overené vo verejnom zdroji),Crowne Plaza Bratislava: krátky postreh,Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 3045 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 3045 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Crowne Plaza Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
DoubleTree by Hilton Bratislava,Bratislava,High,8.75,https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI,+421 2/323 401 11,Overené z raw vstupu: web aj telefón,Hotel: DoubleTree by Hilton Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.75) | Hodnotenie: 4.5/5 z 2016 recenzií | Web: https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI | Telefón: +421 2/323 401 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),DoubleTree by Hilton Bratislava: krátky postreh,Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 2016 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 2016 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre DoubleTree by Hilton Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Falkensteiner Hotel Bratislava,Bratislava,High,8.74,https://www.falkensteiner.com/en/hotel-bratislava,+421 2/592 361 00,Overené z raw vstupu: web aj telefón,Hotel: Falkensteiner Hotel Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.74) | Hodnotenie: 4.4/5 z 2496 recenzií | Web: https://www.falkensteiner.com/en/hotel-bratislava | Telefón: +421 2/592 361 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Check-in od 15:00 / Check-out do 12:00 (Overené vo verejnom zdroji),Falkensteiner Hotel Bratislava: krátky postreh,Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.74), s hodnotením 4.4/5 z 2496 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.74), s hodnotením 4.4/5 z 2496 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Falkensteiner Hotel Bratislava.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
FanatiX Squash & Fitness Center,Bratislava,High,8.73,http://www.fanatix.sk/,+421 949 370 275,Overené z raw vstupu: web aj telefón,Hotel: FanatiX Squash & Fitness Center | Mesto: Bratislava | Kategória: Športový komplex | Priorita: High (8.73) | Hodnotenie: 4.3/5 z 202 recenzií | Web: http://www.fanatix.sk/ | Telefón: +421 949 370 275 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),FanatiX Squash & Fitness Center: krátky postreh,Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 202 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 202 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre FanatiX Squash & Fitness Center.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Color,Bratislava,High,8.73,https://www.hotelcolor.sk/,+421 917 925 200,Overené z raw vstupu: web aj telefón,Hotel: Hotel Color | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.73) | Hodnotenie: 4.3/5 z 1296 recenzií | Web: https://www.hotelcolor.sk/ | Telefón: +421 917 925 200 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Hotel Color: krátky postreh,Pozeral som sa na Hotel Color v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Color v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Hotel Color v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 1296 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Hotel Color v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 1296 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Color.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Divoká voda,Bratislava,High,8.71,http://www.divokavoda.sk/,+421 2/625 280 02,Overené z raw vstupu: web aj telefón,Hotel: Hotel Divoká voda | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.71) | Hodnotenie: 4.1/5 z 837 recenzií | Web: http://www.divokavoda.sk/ | Telefón: +421 2/625 280 02 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Hotel Divoká voda: krátky postreh,Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.71), s hodnotením 4.1/5 z 837 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.71), s hodnotením 4.1/5 z 837 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Divoká voda.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
RAJ zdravia,Nové Mesto,High,8.68,https://www.rajzdravia.sk/,+421 2/203 407 11,Overené z raw vstupu: web aj telefón,Hotel: RAJ zdravia | Mesto: Nové Mesto | Kategória: Ajurvédska klinika | Priorita: High (8.68) | Hodnotenie: 4.3/5 z 146 recenzií | Web: https://www.rajzdravia.sk/ | Telefón: +421 2/203 407 11 | Otváracie hodiny: Recepcia (pondelok - nedeľa 8:30 - 20:30) +421 2 2034 0711 +421 2 2034 0721 - Recepcia ajurvéda recepcia@rajzdravia.sk (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),RAJ zdravia: krátky postreh,Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Nové Mesto, s prioritou High (8.68), s hodnotením 4.3/5 z 146 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Nové Mesto, s prioritou High (8.68), s hodnotením 4.3/5 z 146 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre RAJ zdravia.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Aston Business hotel,Bratislava,High,8.64,http://www.hotelaston.sk/,+421 2/536 320 38,Overené z raw vstupu: web aj telefón,Hotel: Aston Business hotel | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.64) | Hodnotenie: 4.4/5 z 395 recenzií | Web: http://www.hotelaston.sk/ | Telefón: +421 2/536 320 38 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Aston Business hotel: krátky postreh,Pozeral som sa na Aston Business hotel v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Aston Business hotel v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Aston Business hotel v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.64), s hodnotením 4.4/5 z 395 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Aston Business hotel v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.64), s hodnotením 4.4/5 z 395 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Aston Business hotel.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Saunička,Bratislava,High,8.62,http://www.saunicka.sk/,+421 948 966 266,Overené z raw vstupu: web aj telefón,Hotel: Saunička | Mesto: Bratislava | Kategória: Wellness centrum | Priorita: High (8.62) | Hodnotenie: 4.6/5 z 60 recenzií | Web: http://www.saunicka.sk/ | Telefón: +421 948 966 266 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Saunička: krátky postreh,Pozeral som sa na Saunička v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Saunička v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Saunička v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.62), s hodnotením 4.6/5 z 60 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Saunička v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.62), s hodnotením 4.6/5 z 60 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Saunička.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Hradná brána,Devín,High,8.6,http://www.hradna-brana.sk/,+421 915 750 845,Overené z raw vstupu: web aj telefón,Hotel: Hotel Hradná brána | Mesto: Devín | Kategória: Hotel | Priorita: High (8.6) | Hodnotenie: 4.1/5 z 95 recenzií | Web: http://www.hradna-brana.sk/ | Telefón: +421 915 750 845 | Otváracie hodiny: HOTEL Otvorené 10:00-18:00 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Hotel Hradná brána: krátky postreh,Pozeral som sa na Hotel Hradná brána v lokalite Devín.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Hradná brána v lokalite Devín.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na Hotel Hradná brána v lokalite Devín.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Devín, s prioritou High (8.6), s hodnotením 4.1/5 z 95 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na Hotel Hradná brána v lokalite Devín.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Devín, s prioritou High (8.6), s hodnotením 4.1/5 z 95 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Hradná brána.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
AUROOM - Spa Moments,Bratislava,High,8.6,https://www.auroom.sk/,+421 911 401 134,Overené z raw vstupu: web aj telefón,Hotel: AUROOM - Spa Moments | Mesto: Bratislava | Kategória: Wellness Hotel | Priorita: High (8.6) | Hodnotenie: 5.0/5 z 1 recenzií | Web: https://www.auroom.sk/ | Telefón: +421 911 401 134 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),AUROOM - Spa Moments: krátky postreh,Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.,Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,"Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.6), s hodnotením 5.0/5 z 1 recenzií.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",Pozeral som len verejne dostupný profil a základné kontaktné údaje.,"Dobrý deň,

Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.
Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.
Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy. Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.6), s hodnotením 5.0/5 z 1 recenzií.
Pozeral som len verejne dostupný profil a základné kontaktné údaje.

Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre AUROOM - Spa Moments.
Ak chcete, pošlem 3 stručné postrehy v krátkej forme.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
