account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url,shortlist_reason
acc_4e852edf2e61,13,raw_bratislava region_2026-04-01_21-01-58-857.csv,Roset Hotel & Residence,roset hotel residence,SK,Bratislava,,Štúrova 10,http://www.rosethotel.sk/,rosethotel.sk,+421 917 373 209,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.8,757,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.91,8.89,High,unique,roset hotel residence|bratislava|t rova 10,no,no,,no,https://www.google.com/maps/search/?api=1&query=Roset%20Hotel%20%26%20Residence&query_place_id=ChIJhenzKkKJbEcRdBrhUYRg684,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_5bfecae0cadf,14,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Danubia Gate,hotel danubia gate,SK,Bratislava,,"Hotel Danubia Gate, Dunajská 2314/26",http://www.danubiagate.sk/,danubiagate.sk,+421 917 232 000,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,837,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.85,8.88,High,unique,hotel danubia gate|bratislava|hotel danubia gate dunajsk 2314 26,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Danubia%20Gate&query_place_id=ChIJy2-mtEaJbEcR9gJQ64d-TA8,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_22518ae32be2,15,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Max Inn,hotel max inn,SK,Bratislava,,Pri Suchom mlyne 7,http://www.maxinn.sk/,maxinn.sk,+421 905 120 120,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,595,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.85,8.88,High,unique,hotel max inn|bratislava|pri suchom mlyne 7,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Max%20Inn&query_place_id=ChIJw883jgqMbEcRwK_6C6_Qkek,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_6cc9c32ca820,16,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Modena,hotel modena,SK,Bratislava,,"Slovnaft Business Center, Vlčie hrdlo 1/A",http://www.hotelmodena.sk/,hotelmodena.sk,+421 948 998 488,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,3.9,1055,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.73,8.87,High,unique,hotel modena|bratislava|slovnaft business center vl ie hrdlo 1 a,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Modena&query_place_id=ChIJhUH9PpWIbEcRu8oaOSfGP6g,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_0fce4dc7762e,17,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Albrecht,hotel albrecht,SK,Bratislava,,Mudroňova 4237/82,https://www.hotelalbrecht.sk/,hotelalbrecht.sk,+421 907 666 600,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,383,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.62,8.86,High,unique,hotel albrecht|bratislava|mudro ova 4237 82,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Albrecht&query_place_id=ChIJBc8L7OOLbEcRMy8bVJ3y42c,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_d07e333a86d5,18,raw_bratislava region_2026-04-01_21-01-58-857.csv,Boutique Apartments Possonium,boutique apartments possonium,SK,Bratislava,,Šancová 3996/20,http://www.possonium.sk/,possonium.sk,+421 911 754 339,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.1,365,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.5,8.85,High,unique,boutique apartments possonium|bratislava|ancov 3996 20,no,no,,no,https://www.google.com/maps/search/?api=1&query=Boutique%20Apartments%20Possonium&query_place_id=ChIJhW9dZlGJbEcR8GynZ0hEwng,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_6dcc6a0d97eb,19,raw_bratislava region_2026-04-01_21-01-58-857.csv,Areál vodných športov Čunovo,are l vodn ch portov unovo,SK,Čunovo,,Vodné dielo,http://www.divokavoda.sk/,divokavoda.sk,+421 905 313 429,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.5,931,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,88.4,8.84,High,unique,are l vodn ch portov unovo|unovo|vodn dielo,no,no,,no,https://www.google.com/maps/search/?api=1&query=Are%C3%A1l%20vodn%C3%BDch%20%C5%A1portov%20%C4%8Cunovo&query_place_id=ChIJcSxCCsh9bEcRXXi8giA85HQ,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_a1dccbe6b9f7,20,raw_bratislava region_2026-04-01_21-01-58-857.csv,Ponteo Activity Park Rusovce - hotel & reštaurácia,ponteo activity park rusovce hotel re taur cia,SK,Rusovce,,Starorímska 1a,http://www.ponteo.sk/,ponteo.sk,+421 2/209 090 10,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.4,835,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,88.38,8.84,High,unique,ponteo activity park rusovce hotel re taur cia|rusovce|staror mska 1a,no,no,,no,https://www.google.com/maps/search/?api=1&query=Ponteo%20Activity%20Park%20Rusovce%20-%20hotel%20%26%20re%C5%A1taur%C3%A1cia&query_place_id=ChIJFQ3HIDB9bEcRDki5t_V48Ac,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_b3a374a53a90,21,raw_bratislava region_2026-04-01_21-01-58-857.csv,WX Hotel,wx hotel,SK,Devínska Nová Ves,,Opletalova 1A,https://www.wxhotel.sk/,wxhotel.sk,+421 948 946 835,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.2,508,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,88.34,8.83,High,unique,wx hotel|dev nska nov ves|opletalova 1a,no,no,,no,https://www.google.com/maps/search/?api=1&query=WX%20Hotel&query_place_id=ChIJ52Kt7QLzbEcRhrzHytKGoEU,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_44877618d28d,22,raw_bratislava region_2026-04-01_21-01-58-857.csv,Suza,suza,SK,Bratislava,,Drotárska cesta 4748,http://cuz.sk/,cuz.sk,+421 915 846 345,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,3.4,307,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.24,8.82,High,unique,suza|bratislava|drot rska cesta 4748,no,no,,no,https://www.google.com/maps/search/?api=1&query=Suza&query_place_id=ChIJCYrHOPCLbEcRq68vav9QrtE,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_3aabc2f13f65,23,raw_bratislava region_2026-04-01_21-01-58-857.csv,Ubytovňa Siesta,ubytov a siesta,SK,Bratislava,,Borinská 3110/10,https://www.sie-sta.sk/,sie-sta.sk,+421 910 379 471,Kapsulový hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,3.8,244,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.2,8.82,High,unique,ubytov a siesta|bratislava|borinsk 3110 10,no,no,,no,https://www.google.com/maps/search/?api=1&query=Ubytov%C5%88a%20Siesta&query_place_id=ChIJEfABrvKMbEcRUmljWYwnc3I,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_b5ba4decb916,24,raw_bratislava region_2026-04-01_21-01-58-857.csv,Tempus Club Garni Hotel,tempus club garni hotel,SK,Bratislava,,Rožňavská 5363/34,http://club.tempus.sk/,club.tempus.sk,+421 2/482 764 00,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.2,111,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.01,8.8,High,unique,tempus club garni hotel|bratislava|ro avsk 5363 34,no,no,,no,https://www.google.com/maps/search/?api=1&query=Tempus%20Club%20Garni%20Hotel&query_place_id=ChIJ6VmJEf2ObEcRl_4LmWZDH54,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
acc_606e20da4cf2,25,raw_bratislava region_2026-04-01_21-01-58-857.csv,Melrose Apartments,melrose apartments,SK,Petržalka,,Betliarska 3769/12,http://www.melroseapartman.sk/,melroseapartman.sk,+421 2/207 629 46,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.3,295,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,87.95,8.8,High,unique,melrose apartments|petr alka|betliarska 3769 12,no,no,,no,https://www.google.com/maps/search/?api=1&query=Melrose%20Apartments&query_place_id=ChIJyScSNciJbEcRdFjO-GStdmA,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_c0a9b7c48c92,26,raw_bratislava region_2026-04-01_21-01-58-857.csv,BAROK Hotel a Apartmany,barok hotel a apartmany,SK,Bratislava-Petržalka,,Sitnianska 1,http://www.barok.sk/,barok.sk,+421 950 500 555,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.6,241,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,87.9,8.79,High,unique,barok hotel a apartmany|bratislava petr alka|sitnianska 1,no,no,,no,https://www.google.com/maps/search/?api=1&query=BAROK%20Hotel%20a%20Apartmany&query_place_id=ChIJu61KpUqIbEcRV54KLBxj_L8,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_f4f462233e5a,27,raw_bratislava region_2026-04-01_21-01-58-857.csv,RAJ zdravia,raj zdravia,SK,Nové Mesto,,Limbová 1A,https://www.rajzdravia.sk/,rajzdravia.sk,+421 2/203 407 11,Ajurvédska klinika,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.3,146,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,87.65,8.76,High,unique,raj zdravia|nov mesto|limbov 1a,no,no,,no,https://www.google.com/maps/search/?api=1&query=RAJ%20zdravia&query_place_id=ChIJh7caNzCNbEcRoVJgAc7Ktfg,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_4f1ba2cb9329,28,raw_bratislava region_2026-04-01_21-01-58-857.csv,Penzion Zlatá Noha,penzion zlat noha,SK,Nové Mesto,,Bellova 2A,http://www.zlatanoha.sk/,zlatanoha.sk,+421 903 427 138,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,3.4,233,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,87.65,8.76,High,unique,penzion zlat noha|nov mesto|bellova 2a,no,no,,no,https://www.google.com/maps/search/?api=1&query=Penzion%20Zlat%C3%A1%20Noha&query_place_id=ChIJSXOFNqmObEcR4O76AvaYCc0,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_50fcce4dac02,29,raw_bratislava region_2026-04-01_21-01-58-857.csv,Cabin Devín,cabin dev n,SK,Cabin-Devín,,,http://www.cabindevin.sk/,cabindevin.sk,+421 911 718 259,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,5.0,22,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,87.54,8.75,High,unique,cabin dev n|cabin dev n|cabindevin.sk,no,no,,no,https://www.google.com/maps/search/?api=1&query=Cabin%20Dev%C3%ADn&query_place_id=ChIJYYHab3WLbEcRnfLtKKIoick,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | has_website
acc_7f1a3c79f128,30,raw_bratislava region_2026-04-01_21-01-58-857.csv,Marrol's Boutique Hotel,marrol s boutique hotel,SK,Bratislava,,Tobrucká 6953/4,http://www.hotelmarrols.sk/,hotelmarrols.sk,+421 2/577 846 00,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.7,1448,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,87.29,8.73,High,unique,marrol s boutique hotel|bratislava|tobruck 6953 4,no,no,,no,https://www.google.com/maps/search/?api=1&query=Marrol's%20Boutique%20Hotel&query_place_id=ChIJWbrK9UGJbEcRPdhuUlO5nwY,High | A | strong_icp_fit | independent_signal | preferred_hotel_type | core_geography
