hotel_name,review_score,reviews_count,street,city,country_code,website,phone,category_name,source_url,all_categories,source_file,priority_score,priority_band
SKARITZ Hotel & Residence,4.6,527,Michalská 382,Bratislava,SK,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+421 2/592 097 70,Hotel,https://www.google.com/maps/search/?api=1&query=SKARITZ%20Hotel%20%26%20Residence&query_place_id=ChIJqWbI2VyJbEcRDgiRvT3gLGk,Hotel | Hotel na predĺžený pobyt | Ubytovanie s izbovou službou | Wellness Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.06,High
YACHTER CLUB Modrá Čajka,4.6,883,vodné dielo,Čunovo,SK,http://www.yachter-cajka.sk/,+421 948 815 888,Prístav,https://www.google.com/maps/search/?api=1&query=YACHTER%20CLUB%20Modr%C3%A1%20%C4%8Cajka&query_place_id=ChIJuXUeZ7h9bEcROnFIF2IZRpk,Prístav | Ihrisko na plážový volejbal | Požičovňa lodí | Rýchle občerstvenie | Prenájom rybárskych lodí | Reštaurácia | Vodné lyžovanie,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.06,High
LILAWADI - Wellness & Spa,5.0,441,Kresánkova 7C,Karlova Ves,SK,https://www.lilawadi.sk/,+421 948 888 885,Wellness centrum,https://www.google.com/maps/search/?api=1&query=LILAWADI%20-%20Wellness%20%26%20Spa&query_place_id=ChIJC9Fj0U6LbEcR3x4ygcOAdOY,Wellness centrum | Denný wellness | Wellness a masáže | Wellness s horúcimi kameňmi | Verejná sauna | Sauna | Wellness program,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.04,High
Apollo Hotel,4.4,3604,Dulovo námestie 1,Ružinov,SK,http://www.apollohotel.sk/,+421 903 231 893,Hotel,https://www.google.com/maps/search/?api=1&query=Apollo%20Hotel&query_place_id=ChIJi8Rg1DCJbEcRNX5E39oAsGI,Hotel | Bar | Konferenčné stredisko | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.04,High
Mamaison Residence Sulekova Bratislava,4.3,604,Šulekova 1172/20,Bratislava I,SK,https://www.mamaisonsulekova.com/,+421 2/591 002 00,Hotel na predĺžený pobyt,https://www.google.com/maps/search/?api=1&query=Mamaison%20Residence%20Sulekova%20Bratislava&query_place_id=ChIJg9fAMFmJbEcRxLqNu3BX9-g,Hotel na predĺžený pobyt | Hotel | Sauna | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.03,High
Dunajský Pivovar,3.8,2429,Tyršovo nábrežie,Bratislava-Petržalka,SK,http://www.dunajskypivovar.sk/,+421 948 418 934,Reštaurácia,https://www.google.com/maps/search/?api=1&query=Dunajsk%C3%BD%20Pivovar&query_place_id=ChIJ1Y73ImuJbEcRbwDqbz1KmRU,Reštaurácia | Bar | Pivovar | Piváreň | Krčma,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.98,High
Penzion Zlatá Noha,3.4,233,Bellova 2A,Nové Mesto,SK,http://www.zlatanoha.sk/,+421 903 427 138,Hotel,https://www.google.com/maps/search/?api=1&query=Penzion%20Zlat%C3%A1%20Noha&query_place_id=ChIJSXOFNqmObEcR4O76AvaYCc0,Hotel | Penzión | Ubytovanie | Nefajčiarske ubytovacie zariadenie | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.97,High
Cabin Devín,5.0,22,,Cabin-Devín,SK,http://www.cabindevin.sk/,+421 911 718 259,Hotel,https://www.google.com/maps/search/?api=1&query=Cabin%20Dev%C3%ADn&query_place_id=ChIJYYHab3WLbEcRnfLtKKIoick,Hotel | Farma | Luxusná reštaurácia | Prenájom dovolenkových apartmánov | Chovateľ koní | Jazdenie na koni | Ranč | Vinica | Vinárstvo,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.92,High
William's apartments s.r.o,5.0,6,Fialová 2C,Bratislava,SK,https://www.william-s-apartments.eu/william-s-apartment/,+421 908 542 052,Hotel,https://www.google.com/maps/search/?api=1&query=William's%20apartments%20s.r.o&query_place_id=ChIJu9dI1tiJbEcRC3UHHRU7A-Y,Hotel | Bytový dom | Apartmánový komplex | Prenájom bytov | Turistická oblasť | Prenájom dovolenkových apartmánov | Nefajčiarske ubytovacie zariadenie | Rekreačné stredisko | Hotelový rezort | Dovolenkový apartmán,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.91,High
"Grand Hotel River Park, a Luxury Collection Hotel",4.6,1617,Dvořákovo nábrežie 6,Bratislava,SK,https://www.marriott.com/en-us/hotels/btslc-grand-hotel-river-park-a-luxury-collection-hotel-bratislava/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/322 382 22,Hotel,https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20River%20Park%2C%20a%20Luxury%20Collection%20Hotel&query_place_id=ChIJnywLnt-LbEcRjox8UmxuK5c,Hotel | Plánovanie stretnutí | Miesto na konanie svadieb,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.76,High
Sheraton Bratislava,4.6,1634,Pribinova 12,Bratislava,SK,https://www.marriott.com/en-us/hotels/btssi-sheraton-bratislava-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/353 500 00,Hotel,https://www.google.com/maps/search/?api=1&query=Sheraton%20Bratislava&query_place_id=ChIJYS7WvT-JbEcRN0C1OeRAzCg,Hotel | Plánovanie stretnutí | Miesto na konanie svadieb,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.76,High
HOTEL DEVÍN,4.5,1982,Riečna 162/4,Bratislava,SK,http://www.hoteldevin.sk/,+421 2/599 851 11,Hotel,https://www.google.com/maps/search/?api=1&query=HOTEL%20DEV%C3%8DN&query_place_id=ChIJ0RTfP2iJbEcR7Xs3j8YvZ7s,Hotel | Francúzska reštaurácia | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.75,High
Crowne Plaza Bratislava,4.5,3045,Hodžovo námestie 2,Bratislava,SK,https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA,+421 2/593 481 11,Hotel,https://www.google.com/maps/search/?api=1&query=Crowne%20Plaza%20Bratislava&query_place_id=ChIJaeVrEVuJbEcRa-AYnk0qGWQ,Hotel | Konferenčné stredisko | Miesto na konanie svadieb,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.75,High
DoubleTree by Hilton Bratislava,4.5,2016,Trnavská cesta 27/A,Bratislava,SK,https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI,+421 2/323 401 11,Hotel,https://www.google.com/maps/search/?api=1&query=DoubleTree%20by%20Hilton%20Bratislava&query_place_id=ChIJ28V7o8uObEcRf2RSz2pVWqA,Hotel | Miesto konania podujatia | Miesto na konanie svadieb,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.75,High
Falkensteiner Hotel Bratislava,4.4,2496,Pilárikova 7372,Bratislava,SK,https://www.falkensteiner.com/en/hotel-bratislava,+421 2/592 361 00,Hotel,https://www.google.com/maps/search/?api=1&query=Falkensteiner%20Hotel%20Bratislava&query_place_id=ChIJGWe3a1yJbEcRuWzxtO9GYVY,Hotel | Reštaurácia | Wellness Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.74,High
FanatiX Squash & Fitness Center,4.3,202,Dunajská 2295/23,Bratislava,SK,http://www.fanatix.sk/,+421 949 370 275,Športový komplex,https://www.google.com/maps/search/?api=1&query=FanatiX%20Squash%20%26%20Fitness%20Center&query_place_id=ChIJn-Zp6EaJbEcRTQNvI9x4wH4,Športový komplex | Posilňovňa | Kaderníctvo | Masér | Inštruktor skalolezenia | Squashový kurt,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.73,High
Hotel Color,4.3,1296,Pri Starom mýte 3095/1,Bratislava,SK,https://www.hotelcolor.sk/,+421 917 925 200,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Color&query_place_id=ChIJ89Iw1vqObEcRguQA36i6QNY,Hotel | Miesto konania podujatia | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.73,High
Hotel Divoká voda,4.1,837,Vodné dielo Čunovo,Bratislava,SK,http://www.divokavoda.sk/,+421 2/625 280 02,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Divok%C3%A1%20voda&query_place_id=ChIJezFXyat9bEcRLcbKbAWLyz4,Hotel | Zabávač | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.71,High
RAJ zdravia,4.3,146,Limbová 1A,Nové Mesto,SK,https://www.rajzdravia.sk/,+421 2/203 407 11,Ajurvédska klinika,https://www.google.com/maps/search/?api=1&query=RAJ%20zdravia&query_place_id=ChIJh7caNzCNbEcRoVJgAc7Ktfg,Ajurvédska klinika | Kaviareň | Hotel | Vegetariánska reštaurácia | Wellness centrum | Štúdio jogy,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.68,High
Aston Business hotel,4.4,395,Bajkalská 715,Bratislava,SK,http://www.hotelaston.sk/,+421 2/536 320 38,Hotel,https://www.google.com/maps/search/?api=1&query=Aston%20Business%20hotel&query_place_id=ChIJe5fjAS2JbEcR_b8clJLcQJg,Hotel | Konferenčné priestory | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.64,High
Saunička,4.6,60,Prievozská 6,Bratislava,SK,http://www.saunicka.sk/,+421 948 966 266,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Sauni%C4%8Dka&query_place_id=ChIJzYlL35KJbEcRcDEBba8dXxY,Wellness centrum | Wellness a masáže | Verejná sauna | Sauna | Saunový klub | Wellness program,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.62,High
Hotel Hradná brána,4.1,95,Muránska 1062/15,Devín,SK,http://www.hradna-brana.sk/,+421 915 750 845,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Hradn%C3%A1%20br%C3%A1na&query_place_id=ChIJQapseE31bEcRNkBK1PwYIDw,Hotel | Dodávateľ cateringových služieb | Kaviareň | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.6,High
AUROOM - Spa Moments,5.0,1,Tomášikova 26,Bratislava,SK,https://www.auroom.sk/,+421 911 401 134,Wellness Hotel,https://www.google.com/maps/search/?api=1&query=AUROOM%20-%20Spa%20Moments&query_place_id=ChIJh6DIPMSPbEcRvqL8BalAJNI,Wellness Hotel | Wellness a masáže | Sauna | Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.6,High
Penzión Carpatia,3.7,123,Poľný mlyn 1,Záhorská Bystrica-Poľný mlyn,SK,http://www.hotelcarpatia.sk/,+421 905 155 531,Hotel,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Carpatia&query_place_id=ChIJw6GqS47ybEcRIp8gOMxadRI,Hotel | Penzión | Ubytovanie pod strechou | Ubytovanie,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.59,High
Penzión Raki & Wellness,3.8,305,Kopčianska 82/D,Petržalka,SK,http://www.penzion-bratislava-raki.com/,+421 911 747 667,Hotel,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Raki%20%26%20Wellness&query_place_id=ChIJz8cPg5qJbEcRcsWf5W8C2I4,Hotel | Ubytovňa | Penzión,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.49,Medium-High
Roset Hotel & Residence,4.8,757,Štúrova 10,Bratislava,SK,http://www.rosethotel.sk/,+421 917 373 209,Hotel,https://www.google.com/maps/search/?api=1&query=Roset%20Hotel%20%26%20Residence&query_place_id=ChIJhenzKkKJbEcRdBrhUYRg684,Hotel | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.48,Medium-High
Hotel Max Inn,4.5,595,Pri Suchom mlyne 7,Bratislava,SK,http://www.maxinn.sk/,+421 905 120 120,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Max%20Inn&query_place_id=ChIJw883jgqMbEcRwK_6C6_Qkek,Hotel | Kaviareň,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.45,Medium-High
Hotel Danubia Gate,4.5,837,"Hotel Danubia Gate, Dunajská 2314/26",Bratislava,SK,http://www.danubiagate.sk/,+421 917 232 000,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Danubia%20Gate&query_place_id=ChIJy2-mtEaJbEcR9gJQ64d-TA8,Hotel | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.45,Medium-High
Hotel Tatra,4.3,2375,Námestie 1. mája 5,Staré Mesto,SK,http://www.hoteltatra.sk/,+421 2/592 721 11,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Tatra&query_place_id=ChIJFzn-w1qJbEcRxCb6Dz80fGc,Hotel | Kongresové centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.43,Medium-High
Hotel SOREA REGIA Bratislava,4.0,761,Kráľovské údolie 6,Staré Mesto,SK,http://www.sorea.sk/regia,+421 2/321 128 70,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20SOREA%20REGIA%20Bratislava&query_place_id=ChIJtS-R_N2LbEcRxutd7kQLUZ0,Hotel | Kongresové centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.4,Medium-High
Hotel Modena,3.9,1055,"Slovnaft Business Center, Vlčie hrdlo 1/A",Bratislava,SK,http://www.hotelmodena.sk/,+421 948 998 488,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Modena&query_place_id=ChIJhUH9PpWIbEcRu8oaOSfGP6g,Hotel | Wellness Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.39,Medium-High
"Hotel Orlan ( hotel Ružinov , Hotels )",3.9,447,Strojnícka 4542/99,Ružinov,SK,http://www.orlan.sk/,+421 915 626 500,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Orlan%20(%20hotel%20Ru%C5%BEinov%20%2C%20Hotels%20)&query_place_id=ChIJHTwThjaPbEcRCVxvwTXHz0U,Hotel | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.34,Medium-High
Elysium Spa,4.7,75,Grösslingová 56,Staré Mesto,SK,https://www.elysiumspa.sk/,+421 911 889 771,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Elysium%20Spa&query_place_id=ChIJVShYm5iJbEcRdDOGpVoRMwM,Wellness centrum | Sauna | Saunový klub | Kúpele,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.34,Medium-High
Hotel Albrecht,4.5,383,Mudroňova 4237/82,Bratislava,SK,https://www.hotelalbrecht.sk/,+421 907 666 600,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Albrecht&query_place_id=ChIJBc8L7OOLbEcRMy8bVJ3y42c,Hotel | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.33,Medium-High
Boutique Apartments Possonium,4.1,365,Šancová 3996/20,Bratislava,SK,http://www.possonium.sk/,+421 911 754 339,Hotel,https://www.google.com/maps/search/?api=1&query=Boutique%20Apartments%20Possonium&query_place_id=ChIJhW9dZlGJbEcR8GynZ0hEwng,Hotel | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.28,Medium-High
Penzion Helios,4.3,293,Podhorská 1,Devínska Nová Ves,SK,http://www.penzionhelios.sk/,+421 903 420 206,Hotel,https://www.google.com/maps/search/?api=1&query=Penzion%20Helios&query_place_id=ChIJY3WJVhLzbEcRZg5TC_-saCo,Hotel | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.22,Medium-High
The Spa - Luxury thai massage & Spa,4.8,220,Antolská 3721/4,Petržalka,SK,http://www.thespa.sk/,+421 911 100 861,Masér,https://www.google.com/maps/search/?api=1&query=The%20Spa%20-%20Luxury%20thai%20massage%20%26%20Spa&query_place_id=ChIJE8sS3baJbEcRNlG-45Mz2O4,Masér | Wellness a masáže | Thajský masér,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.2,Medium-High
Marrol's Boutique Hotel,4.7,1448,Tobrucká 6953/4,Bratislava,SK,http://www.hotelmarrols.sk/,+421 2/577 846 00,Hotel,https://www.google.com/maps/search/?api=1&query=Marrol's%20Boutique%20Hotel&query_place_id=ChIJWbrK9UGJbEcRPdhuUlO5nwY,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.17,Medium-High
ARCADIA BOUTIQUE HOTEL,4.6,776,Františkánska 424/424/3,Staré Mesto,SK,http://www.arcadiahotel.sk/,+421 2/594 905 00,Hotel,https://www.google.com/maps/search/?api=1&query=ARCADIA%20BOUTIQUE%20HOTEL&query_place_id=ChIJQ9oQtVyJbEcRK_lU89eyLpk,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.16,Medium-High
Centrum Salvator,4.6,599,Jakubovo námestie 5/2557,Bratislava,SK,http://www.centrumsalvator.sk/,+421 950 507 258,Hotel,https://www.google.com/maps/search/?api=1&query=Centrum%20Salvator&query_place_id=ChIJxQ_dx0CJbEcRBMCxQgZNXpU,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.16,Medium-High
Hotel Avance,4.6,595,Medená 7426,Bratislava,SK,http://www.hotelavance.com/,+421 2/592 084 00,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Avance&query_place_id=ChIJNTLhdUKJbEcRvD6jOczmQFQ,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.16,Medium-High
Lindner Hotel Bratislava - JDV by Hyatt,4.5,2286,Metodova 4,Bratislava,SK,https://www.hyatt.com/en-US/hotel/slovakia/lindner-hotel-bratislava/btsjb?src=corp_lclb_google_seo_btsjb&utm_source=google&utm_medium=organic&utm_campaign=lmr,+421 2/399 300 00,Hotel,https://www.google.com/maps/search/?api=1&query=Lindner%20Hotel%20Bratislava%20-%20JDV%20by%20Hyatt&query_place_id=ChIJB1_JvkqJbEcRcqX4FI8vSDY,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.15,Medium-High
Hotel Matyšák,4.5,838,Pražská 3745/15,Staré Mesto,SK,http://www.hotelmatysak.sk/,+421 2/206 340 01,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Maty%C5%A1%C3%A1k&query_place_id=ChIJw8l31FWJbEcRPBMjLeTBY7A,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.15,Medium-High
Hotel NH Bratislava Gate One,4.5,2194,Ambrušova 7,Bratislava,SK,https://www.nh-hotels.com/en/hotel/nh-bratislava-gate-one?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb,+421 2/327 701 10,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20NH%20Bratislava%20Gate%20One&query_place_id=ChIJDzAsfSOPbEcRHKBdWT49FA8,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.15,Medium-High
Felicity Garni Hotel,4.5,517,Hontianska 4,Bratislava,SK,https://www.felicityhotel.sk/,+421 910 188 288,Hotel,https://www.google.com/maps/search/?api=1&query=Felicity%20Garni%20Hotel&query_place_id=ChIJZxQCozqJbEcRGo1DO2fvE7c,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.15,Medium-High
Suza,3.4,307,Drotárska cesta 4748,Bratislava,SK,http://cuz.sk/,+421 915 846 345,Hotel,https://www.google.com/maps/search/?api=1&query=Suza&query_place_id=ChIJCYrHOPCLbEcRq68vav9QrtE,Hotel | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.15,Medium-High
Hotel Antares,4.4,575,Šulekova 1181/15,Bratislava,SK,http://www.hotelantares.sk/,+421 910 785 020,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Antares&query_place_id=ChIJEUb-euKLbEcRIfrsouCOctg,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.14,Medium-High
APLEND CITY Hotel Perugia,4.5,488,Zelená 5,Bratislava,SK,https://www.aplendcity.com/sk/hotel-perugia,+421 902 411 111,Hotel,https://www.google.com/maps/search/?api=1&query=APLEND%20CITY%20Hotel%20Perugia&query_place_id=ChIJSbTtzEKJbEcRquztrqKAz48,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.14,Medium-High
PREMIUM Business Hotel Bratislava,4.4,1281,Priekopy 20/A,Bratislava,SK,http://www.hotel-premium.sk/,+421 2/494 910 55,Hotel,https://www.google.com/maps/search/?api=1&query=PREMIUM%20Business%20Hotel%20Bratislava&query_place_id=ChIJtzGAIs2ObEcRWMGtyyGbALI,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.14,Medium-High
Vienna House Easy Bratislava,4.3,2338,Galvaniho 28,Bratislava,SK,https://www.wyndhamhotels.com/en-uk/vienna-house/bratislavaslovak-republic/vienna-house-easy-bratislava/overview?CID=LC:6qt7c54dekbf1g7:57416&iata=00093796,+421 2/322 991 00,Hotel,https://www.google.com/maps/search/?api=1&query=Vienna%20House%20Easy%20Bratislava&query_place_id=ChIJYUQ2ex-PbEcRK1a3LF8ENa0,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.13,Medium-High
