account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url
acc_bd6cb35aa9a4,11,raw_bratislava region_2026-04-01_21-01-58-857.csv,Aston Business hotel,aston business hotel,SK,Bratislava,,Bajkalská 715,http://www.hotelaston.sk/,hotelaston.sk,+421 2/536 320 38,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.4,395,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.22,9.02,High,unique,aston business hotel|bratislava|bajkalsk 715,no,no,,no,https://www.google.com/maps/search/?api=1&query=Aston%20Business%20hotel&query_place_id=ChIJe5fjAS2JbEcR_b8clJLcQJg
acc_81ac99f0b470,12,raw_bratislava region_2026-04-01_21-01-58-857.csv,AUROOM - Spa Moments,auroom spa moments,SK,Bratislava,,Tomášikova 26,https://www.auroom.sk/,auroom.sk,+421 911 401 134,Wellness Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,5.0,1,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,89.15,8.92,High,unique,auroom spa moments|bratislava|tom ikova 26,no,no,,no,https://www.google.com/maps/search/?api=1&query=AUROOM%20-%20Spa%20Moments&query_place_id=ChIJh6DIPMSPbEcRvqL8BalAJNI
acc_4e852edf2e61,13,raw_bratislava region_2026-04-01_21-01-58-857.csv,Roset Hotel & Residence,roset hotel residence,SK,Bratislava,,Štúrova 10,http://www.rosethotel.sk/,rosethotel.sk,+421 917 373 209,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.8,757,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.91,8.89,High,unique,roset hotel residence|bratislava|t rova 10,no,no,,no,https://www.google.com/maps/search/?api=1&query=Roset%20Hotel%20%26%20Residence&query_place_id=ChIJhenzKkKJbEcRdBrhUYRg684
acc_5bfecae0cadf,14,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Danubia Gate,hotel danubia gate,SK,Bratislava,,"Hotel Danubia Gate, Dunajská 2314/26",http://www.danubiagate.sk/,danubiagate.sk,+421 917 232 000,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,837,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.85,8.88,High,unique,hotel danubia gate|bratislava|hotel danubia gate dunajsk 2314 26,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Danubia%20Gate&query_place_id=ChIJy2-mtEaJbEcR9gJQ64d-TA8
acc_22518ae32be2,15,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Max Inn,hotel max inn,SK,Bratislava,,Pri Suchom mlyne 7,http://www.maxinn.sk/,maxinn.sk,+421 905 120 120,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,595,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.85,8.88,High,unique,hotel max inn|bratislava|pri suchom mlyne 7,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Max%20Inn&query_place_id=ChIJw883jgqMbEcRwK_6C6_Qkek
acc_6cc9c32ca820,16,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Modena,hotel modena,SK,Bratislava,,"Slovnaft Business Center, Vlčie hrdlo 1/A",http://www.hotelmodena.sk/,hotelmodena.sk,+421 948 998 488,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,3.9,1055,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.73,8.87,High,unique,hotel modena|bratislava|slovnaft business center vl ie hrdlo 1 a,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Modena&query_place_id=ChIJhUH9PpWIbEcRu8oaOSfGP6g
acc_0fce4dc7762e,17,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Albrecht,hotel albrecht,SK,Bratislava,,Mudroňova 4237/82,https://www.hotelalbrecht.sk/,hotelalbrecht.sk,+421 907 666 600,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,383,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.62,8.86,High,unique,hotel albrecht|bratislava|mudro ova 4237 82,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Albrecht&query_place_id=ChIJBc8L7OOLbEcRMy8bVJ3y42c
acc_d07e333a86d5,18,raw_bratislava region_2026-04-01_21-01-58-857.csv,Boutique Apartments Possonium,boutique apartments possonium,SK,Bratislava,,Šancová 3996/20,http://www.possonium.sk/,possonium.sk,+421 911 754 339,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.1,365,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,88.5,8.85,High,unique,boutique apartments possonium|bratislava|ancov 3996 20,no,no,,no,https://www.google.com/maps/search/?api=1&query=Boutique%20Apartments%20Possonium&query_place_id=ChIJhW9dZlGJbEcR8GynZ0hEwng
acc_6dcc6a0d97eb,19,raw_bratislava region_2026-04-01_21-01-58-857.csv,Areál vodných športov Čunovo,are l vodn ch portov unovo,SK,Čunovo,,Vodné dielo,http://www.divokavoda.sk/,divokavoda.sk,+421 905 313 429,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.5,931,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,88.4,8.84,High,unique,are l vodn ch portov unovo|unovo|vodn dielo,no,no,,no,https://www.google.com/maps/search/?api=1&query=Are%C3%A1l%20vodn%C3%BDch%20%C5%A1portov%20%C4%8Cunovo&query_place_id=ChIJcSxCCsh9bEcRXXi8giA85HQ
acc_a1dccbe6b9f7,20,raw_bratislava region_2026-04-01_21-01-58-857.csv,Ponteo Activity Park Rusovce - hotel & reštaurácia,ponteo activity park rusovce hotel re taur cia,SK,Rusovce,,Starorímska 1a,http://www.ponteo.sk/,ponteo.sk,+421 2/209 090 10,Hotel,Preferred hotel,In-country expansion,Independent candidate,Independent operator candidate,4.4,835,88.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | has_website,88.38,8.84,High,unique,ponteo activity park rusovce hotel re taur cia|rusovce|staror mska 1a,no,no,,no,https://www.google.com/maps/search/?api=1&query=Ponteo%20Activity%20Park%20Rusovce%20-%20hotel%20%26%20re%C5%A1taur%C3%A1cia&query_place_id=ChIJFQ3HIDB9bEcRDki5t_V48Ac
