Task name,Description content,Status,Priority,Hotel name,City,Priority score,Contact phone,Contact website,Subject line,Source file
Lead outreach - Melrose Apartments,"Hotel: Melrose Apartments
Mesto: Petržalka
Priorita band: High
Skóre: 9.12
Web: http://www.melroseapartman.sk/
Telefón: +421 2/207 629 46

Hook: Pozeral som sa na Melrose Apartments v lokalite Petržalka.

Cold email:
Dobrý deň,

Pozeral som sa na Melrose Apartments v lokalite Petržalka.
Pozrel som si váš verejný profil v lokalite Petržalka, s prioritou High (9.12), s hodnotením 4.3/5 z 295 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Melrose Apartments.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Melrose Apartments.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Melrose Apartments,Petržalka,9.12,+421 2/207 629 46,http://www.melroseapartman.sk/,Melrose Apartments: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - BAROK Hotel a Apartmany,"Hotel: BAROK Hotel a Apartmany
Mesto: Bratislava-Petržalka
Priorita band: High
Skóre: 9.1
Web: http://www.barok.sk/
Telefón: +421 950 500 555

Hook: Pozeral som sa na BAROK Hotel a Apartmany v lokalite Bratislava-Petržalka.

Cold email:
Dobrý deň,

Pozeral som sa na BAROK Hotel a Apartmany v lokalite Bratislava-Petržalka.
Pozrel som si váš verejný profil v lokalite Bratislava-Petržalka, s prioritou High (9.1), s hodnotením 4.6/5 z 241 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre BAROK Hotel a Apartmany.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre BAROK Hotel a Apartmany.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,BAROK Hotel a Apartmany,Bratislava-Petržalka,9.1,+421 950 500 555,http://www.barok.sk/,BAROK Hotel a Apartmany: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - SKARITZ Hotel & Residence,"Hotel: SKARITZ Hotel & Residence
Mesto: Bratislava
Priorita band: High
Skóre: 9.06
Web: https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing
Telefón: +421 2/592 097 70

Hook: Pozeral som sa na SKARITZ Hotel & Residence v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na SKARITZ Hotel & Residence v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.06), s hodnotením 4.6/5 z 527 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre SKARITZ Hotel & Residence.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre SKARITZ Hotel & Residence.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,SKARITZ Hotel & Residence,Bratislava,9.06,+421 2/592 097 70,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,SKARITZ Hotel & Residence: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - YACHTER CLUB Modrá Čajka,"Hotel: YACHTER CLUB Modrá Čajka
Mesto: Čunovo
Priorita band: High
Skóre: 9.06
Web: http://www.yachter-cajka.sk/
Telefón: +421 948 815 888

Hook: Pozeral som sa na YACHTER CLUB Modrá Čajka v lokalite Čunovo.

Cold email:
Dobrý deň,

Pozeral som sa na YACHTER CLUB Modrá Čajka v lokalite Čunovo.
Pozrel som si váš verejný profil v lokalite Čunovo, s prioritou High (9.06), s hodnotením 4.6/5 z 883 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre YACHTER CLUB Modrá Čajka.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre YACHTER CLUB Modrá Čajka.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,YACHTER CLUB Modrá Čajka,Čunovo,9.06,+421 948 815 888,http://www.yachter-cajka.sk/,YACHTER CLUB Modrá Čajka: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - LILAWADI - Wellness & Spa,"Hotel: LILAWADI - Wellness & Spa
Mesto: Karlova Ves
Priorita band: High
Skóre: 9.04
Web: https://www.lilawadi.sk/
Telefón: +421 948 888 885

Hook: Pozeral som sa na LILAWADI - Wellness & Spa v lokalite Karlova Ves.

Cold email:
Dobrý deň,

Pozeral som sa na LILAWADI - Wellness & Spa v lokalite Karlova Ves.
Pozrel som si váš verejný profil v lokalite Karlova Ves, s prioritou High (9.04), s hodnotením 5.0/5 z 441 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre LILAWADI - Wellness & Spa.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre LILAWADI - Wellness & Spa.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,LILAWADI - Wellness & Spa,Karlova Ves,9.04,+421 948 888 885,https://www.lilawadi.sk/,LILAWADI - Wellness & Spa: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Apollo Hotel,"Hotel: Apollo Hotel
Mesto: Ružinov
Priorita band: High
Skóre: 9.04
Web: http://www.apollohotel.sk/
Telefón: +421 903 231 893

Hook: Pozeral som sa na Apollo Hotel v lokalite Ružinov.

Cold email:
Dobrý deň,

Pozeral som sa na Apollo Hotel v lokalite Ružinov.
Pozrel som si váš verejný profil v lokalite Ružinov, s prioritou High (9.04), s hodnotením 4.4/5 z 3604 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Apollo Hotel.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Apollo Hotel.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Apollo Hotel,Ružinov,9.04,+421 903 231 893,http://www.apollohotel.sk/,Apollo Hotel: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Mamaison Residence Sulekova Bratislava,"Hotel: Mamaison Residence Sulekova Bratislava
Mesto: Bratislava I
Priorita band: High
Skóre: 9.03
Web: https://www.mamaisonsulekova.com/
Telefón: +421 2/591 002 00

Hook: Pozeral som sa na Mamaison Residence Sulekova Bratislava v lokalite Bratislava I.

Cold email:
Dobrý deň,

Pozeral som sa na Mamaison Residence Sulekova Bratislava v lokalite Bratislava I.
Pozrel som si váš verejný profil v lokalite Bratislava I, s prioritou High (9.03), s hodnotením 4.3/5 z 604 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Mamaison Residence Sulekova Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Mamaison Residence Sulekova Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Mamaison Residence Sulekova Bratislava,Bratislava I,9.03,+421 2/591 002 00,https://www.mamaisonsulekova.com/,Mamaison Residence Sulekova Bratislava: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Dunajský Pivovar,"Hotel: Dunajský Pivovar
Mesto: Bratislava-Petržalka
Priorita band: High
Skóre: 8.98
Web: http://www.dunajskypivovar.sk/
Telefón: +421 948 418 934

Hook: Pozeral som sa na Dunajský Pivovar v lokalite Bratislava-Petržalka.

Cold email:
Dobrý deň,

Pozeral som sa na Dunajský Pivovar v lokalite Bratislava-Petržalka.
Pozrel som si váš verejný profil v lokalite Bratislava-Petržalka, s prioritou High (8.98), s hodnotením 3.8/5 z 2429 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Dunajský Pivovar.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Dunajský Pivovar.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Dunajský Pivovar,Bratislava-Petržalka,8.98,+421 948 418 934,http://www.dunajskypivovar.sk/,Dunajský Pivovar: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Penzion Zlatá Noha,"Hotel: Penzion Zlatá Noha
Mesto: Nové Mesto
Priorita band: High
Skóre: 8.97
Web: http://www.zlatanoha.sk/
Telefón: +421 903 427 138

Hook: Pozeral som sa na Penzion Zlatá Noha v lokalite Nové Mesto.

Cold email:
Dobrý deň,

Pozeral som sa na Penzion Zlatá Noha v lokalite Nové Mesto.
Pozrel som si váš verejný profil v lokalite Nové Mesto, s prioritou High (8.97), s hodnotením 3.4/5 z 233 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Penzion Zlatá Noha.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Penzion Zlatá Noha.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Penzion Zlatá Noha,Nové Mesto,8.97,+421 903 427 138,http://www.zlatanoha.sk/,Penzion Zlatá Noha: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Cabin Devín,"Hotel: Cabin Devín
Mesto: Cabin-Devín
Priorita band: High
Skóre: 8.92
Web: http://www.cabindevin.sk/
Telefón: +421 911 718 259

Hook: Pozeral som sa na Cabin Devín v lokalite Cabin-Devín.

Cold email:
Dobrý deň,

Pozeral som sa na Cabin Devín v lokalite Cabin-Devín.
Pozrel som si váš verejný profil v lokalite Cabin-Devín, s prioritou High (8.92), s hodnotením 5.0/5 z 22 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Cabin Devín.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Cabin Devín.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Cabin Devín,Cabin-Devín,8.92,+421 911 718 259,http://www.cabindevin.sk/,Cabin Devín: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - William's apartments s.r.o,"Hotel: William's apartments s.r.o
Mesto: Bratislava
Priorita band: High
Skóre: 8.91
Web: https://www.william-s-apartments.eu/william-s-apartment/
Telefón: +421 908 542 052

Hook: Pozeral som sa na William's apartments s.r.o v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na William's apartments s.r.o v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.91), s hodnotením 5.0/5 z 6 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre William's apartments s.r.o.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre William's apartments s.r.o.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,William's apartments s.r.o,Bratislava,8.91,+421 908 542 052,https://www.william-s-apartments.eu/william-s-apartment/,William's apartments s.r.o: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Lead outreach - Grand Hotel River Park, a Luxury Collection Hotel","Hotel: Grand Hotel River Park, a Luxury Collection Hotel
Mesto: Bratislava
Priorita band: High
Skóre: 8.76
Web: https://www.marriott.com/en-us/hotels/btslc-grand-hotel-river-park-a-luxury-collection-hotel-bratislava/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Telefón: +421 2/322 382 22

Hook: Pozeral som sa na Grand Hotel River Park, a Luxury Collection Hotel v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Grand Hotel River Park, a Luxury Collection Hotel v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.76), s hodnotením 4.6/5 z 1617 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Grand Hotel River Park, a Luxury Collection Hotel.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Grand Hotel River Park, a Luxury Collection Hotel.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,"Grand Hotel River Park, a Luxury Collection Hotel",Bratislava,8.76,+421 2/322 382 22,https://www.marriott.com/en-us/hotels/btslc-grand-hotel-river-park-a-luxury-collection-hotel-bratislava/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"Grand Hotel River Park, a Luxury Collection Hotel: krátky nápad",raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Sheraton Bratislava,"Hotel: Sheraton Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 8.76
Web: https://www.marriott.com/en-us/hotels/btssi-sheraton-bratislava-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Telefón: +421 2/353 500 00

Hook: Pozeral som sa na Sheraton Bratislava v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Sheraton Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.76), s hodnotením 4.6/5 z 1634 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Sheraton Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Sheraton Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Sheraton Bratislava,Bratislava,8.76,+421 2/353 500 00,https://www.marriott.com/en-us/hotels/btssi-sheraton-bratislava-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Sheraton Bratislava: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - HOTEL DEVÍN,"Hotel: HOTEL DEVÍN
Mesto: Bratislava
Priorita band: High
Skóre: 8.75
Web: http://www.hoteldevin.sk/
Telefón: +421 2/599 851 11

Hook: Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na HOTEL DEVÍN v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 1982 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre HOTEL DEVÍN.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre HOTEL DEVÍN.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,HOTEL DEVÍN,Bratislava,8.75,+421 2/599 851 11,http://www.hoteldevin.sk/,HOTEL DEVÍN: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
